county_state_id,pop_hispan_prop,pop_un_st,state_name,county_name,pop_un_co,state_id,county_id,pop_co,pop_st,state_abbrev,semester,snap_beneficiaries,snap_biannual_chan,sem,pop_un_co_per,pop_un_st_per,year,month,date
06001,.1176472187212034,3059000,California,Alameda County,109000,06,001,1605217,38654206,CA,0117,108788,-3.398303955956139,Jan17,6.790359185082141,7.913757173022776,2017,1,January2017
06003,.0385964912280702,3059000,California,Alpine County,,06,003,1184,38654206,CA,0715,171,0,Jul15,,7.913757173022776,2015,7,July2015
06005,.0474806704374449,3059000,California,Amador County,,06,005,36963,38654206,CA,0717,2997,-5.098163394553512,Jul17,,7.913757173022776,2017,7,July2017
06007,.0524329733561273,3059000,California,Butte County,,06,007,223877,38654206,CA,0716,32077,.0280653611076431,Jul16,,7.913757173022776,2016,7,July2016
06009,.0439884113954611,3059000,California,Calaveras County,,06,009,44787,38654206,CA,0119,4553,-5.57859809207798,Jan19,,7.913757173022776,2019,1,January2019
06011,.1949026659369869,3059000,California,Colusa County,,06,011,21361,38654206,CA,0718,1409,-4.861580013504385,Jul18,,7.913757173022776,2018,7,July2018
06013,.085037724190017,3059000,California,Contra Costa County,69000,06,013,1107925,38654206,CA,0718,58620,-4.40313111545988,Jul18,6.227858383915879,7.913757173022776,2018,7,July2018
06015,.0558818685842894,3059000,California,Del Norte County,,06,015,27628,38654206,CA,0118,5195,-.9155063894716764,Jan18,,7.913757173022776,2018,1,January2018
06017,.046275579173076,3059000,California,El Dorado County,,06,017,183000,38654206,CA,0116,12931,-2.252626804747149,Jan16,,7.913757173022776,2016,1,January2016
06019,.2930132234777455,3059000,California,Fresno County,82000,06,019,963160,38654206,CA,0715,227377,.2681142484201926,Jul15,8.513642593130943,7.913757173022776,2015,7,July2015
06021,.1185948477751756,3059000,California,Glenn County,,06,021,27976,38654206,CA,0118,3418,1.999403163234859,Jan18,,7.913757173022776,2018,1,January2018
06023,.0343874422223239,3059000,California,Humboldt County,,06,023,135182,38654206,CA,0715,21026,3.770605073536659,Jul15,,7.913757173022776,2015,7,July2015
06025,.55753244229482,3059000,California,Imperial County,19000,06,025,178807,38654206,CA,0717,41231,-1.751417814421197,Jul17,10.62598220427612,7.913757173022776,2017,7,July2017
06027,.0605755797708857,3059000,California,Inyo County,,06,027,18326,38654206,CA,0716,2063,-1.57442748091603,Jul16,,7.913757173022776,2016,7,July2016
06029,.2158974206319675,3059000,California,Kern County,75000,06,029,871337,38654206,CA,0716,162752,.232795890967763,Jul16,8.607461866074779,7.913757173022776,2016,7,July2016
06031,.2688844286527978,3059000,California,Kings County,14000,06,031,150261,38654206,CA,0716,24257,-2.816506410256414,Jul16,9.317121541850513,7.913757173022776,2016,7,July2016
06033,.0517516361436507,3059000,California,Lake County,,06,033,64076,38654206,CA,0716,12338,-1.853472277464008,Jul16,,7.913757173022776,2016,7,July2016
06035,.0654171090900697,3059000,California,Lassen County,,06,035,31945,38654206,CA,0718,2828,-7.034845496383957,Jul18,,7.913757173022776,2018,7,July2018
06037,.2764076892276083,3059000,California,Los Angeles County,1051000,06,037,10057155,38654206,CA,0116,1132762,-2.974669612014136,Jan16,10.45027147339382,7.913757173022776,2016,1,January2016
06039,.2680144495848913,3059000,California,Madera County,17000,06,039,153366,38654206,CA,0115,29244,,Jan15,11.08459502106073,7.913757173022776,2015,1,January2015
06041,.0413514921752879,3059000,California,Marin County,14000,06,041,259358,38654206,CA,0116,10047,-2.617039837161961,Jan16,5.397944154412048,7.913757173022776,2016,1,January2016
06043,.04537270435722,3059000,California,Mariposa County,,06,043,17645,38654206,CA,0118,1921,5.375754251234222,Jan18,,7.913757173022776,2018,1,January2018
06045,.0529987489881522,3059000,California,Mendocino County,,06,045,87409,38654206,CA,0716,12391,-4.998849957831785,Jul16,,7.913757173022776,2016,7,July2016
06047,.253076694411415,3059000,California,Merced County,27000,06,047,265001,38654206,CA,0117,55168,-1.862492217379708,Jan17,10.1886407975819,7.913757173022776,2017,1,January2017
06049,.0413472706155633,3059000,California,Modoc County,,06,049,9033,38654206,CA,0716,1087,2.644003777148263,Jul16,,7.913757173022776,2016,7,July2016
06051,.0472193074501574,3059000,California,Mono County,,06,051,14051,38654206,CA,0116,795,-6.908665105386413,Jan16,,7.913757173022776,2016,1,January2016
06053,.2586882423825099,3059000,California,Monterey County,,06,053,430201,38654206,CA,0718,40091,-14.50354004947539,Jul18,,7.913757173022776,2018,7,July2018
06055,.0870573292069477,3059000,California,Napa County,12000,06,055,140823,38654206,CA,0716,7178,-3.586299529885828,Jul16,8.521335293240451,7.913757173022776,2016,7,July2016
06057,.0296640526672476,3059000,California,Nevada County,,06,057,98639,38654206,CA,0716,7667,-.1172485669619583,Jul16,,7.913757173022776,2016,7,July2016
06059,.1481137649182967,3059000,California,Orange County,271000,06,059,3132211,38654206,CA,0115,249254,,Jan15,8.652035255606982,7.913757173022776,2015,1,January2015
06061,.0699879052177913,3059000,California,Placer County,9000,06,061,370571,38654206,CA,0715,18100,-1.136115359405721,Jul15,2.428684381670449,7.913757173022776,2015,7,July2015
06063,.0366803160505219,3059000,California,Plumas County,,06,063,18754,38654206,CA,0119,2035,1.902854281422139,Jan19,,7.913757173022776,2019,1,January2019
06065,.1875977173527926,3059000,California,Riverside County,163000,06,065,2323892,38654206,CA,0115,291200,,Jan15,7.014095319403828,7.913757173022776,2015,1,January2015
06067,.0946487402080358,3059000,California,Sacramento County,64000,06,067,1479300,38654206,CA,0718,192452,-2.643200777025145,Jul18,4.326370580680051,7.913757173022776,2018,7,July2018
06069,.4571085782843431,3059000,California,San Benito County,,06,069,58051,38654206,CA,0716,5502,-7.311320754716977,Jul16,,7.913757173022776,2016,7,July2016
06071,.185314208718697,3059000,California,San Bernardino County,141000,06,071,2106754,38654206,CA,0115,396515,,Jan15,6.692760521636604,7.913757173022776,2015,1,January2015
06073,.1488452922867531,3059000,California,San Diego County,211000,06,073,3253356,38654206,CA,0715,287776,1.24366294799132,Jul15,6.485610551074029,7.913757173022776,2015,7,July2015
06075,.1228859450574421,3059000,California,San Francisco County,49000,06,075,850282,38654206,CA,0118,47799,-1.690627506632936,Jan18,5.762793990699556,7.913757173022776,2018,1,January2018
06077,.1916523010420954,3059000,California,San Joaquin County,56000,06,077,714860,38654206,CA,0118,101865,-3.765670612464689,Jan18,7.833701703830121,7.913757173022776,2018,1,January2018
06079,.0949154494328106,3059000,California,San Luis Obispo County,10000,06,079,278680,38654206,CA,0717,16794,-3.025753551218391,Jul17,3.588345055260514,7.913757173022776,2017,7,July2017
06081,.1248697624057693,3059000,California,San Mateo County,58000,06,081,754748,38654206,CA,0718,22470,-7.447071422687202,Jul18,7.684684159481045,7.913757173022776,2018,7,July2018
06083,.1853267892893731,3059000,California,Santa Barbara County,46000,06,083,439395,38654206,CA,0718,37095,-4.608223828014502,Jul18,10.46894024738561,7.913757173022776,2018,7,July2018
06085,.1749831329095847,3059000,California,Santa Clara County,138000,06,085,1885056,38654206,CA,0716,101218,-2.878581435068794,Jul16,7.320737421063353,7.913757173022776,2016,7,July2016
06087,.1474420183758779,3059000,California,Santa Cruz County,19000,06,087,270931,38654206,CA,0717,25288,-5.641791044776124,Jul17,7.012855671739299,7.913757173022776,2017,7,July2017
06089,.0298578403837013,3059000,California,Shasta County,,06,089,179228,38654206,CA,0717,23084,-2.409740424452522,Jul17,,7.913757173022776,2017,7,July2017
06091,.0637813211845103,3059000,California,Sierra County,,06,091,2931,38654206,CA,0715,317,-.9375000000000022,Jul15,,7.913757173022776,2015,7,July2015
06093,.0475938789892278,3059000,California,Siskiyou County,,06,093,43668,38654206,CA,0117,6591,-1.479820627802686,Jan17,,7.913757173022776,2017,1,January2017
06095,.1044896737503741,3059000,California,Solano County,21000,06,095,429596,38654206,CA,0118,37873,-2.89970259460568,Jan18,4.888313671449454,7.913757173022776,2018,1,January2018
06097,.069488279607919,3059000,California,Sonoma County,31000,06,097,497776,38654206,CA,0119,24776,-9.341724907607308,Jan19,6.22770081321719,7.913757173022776,2019,1,January2019
06099,.1500150432493419,3059000,California,Stanislaus County,36000,06,099,530561,38654206,CA,0716,87416,-2.751170888540311,Jul16,6.785270685180403,7.913757173022776,2016,7,July2016
06101,.1167387394282653,3059000,California,Sutter County,,06,101,95406,38654206,CA,0718,11360,-6.625020549071181,Jul18,,7.913757173022776,2018,7,July2018
06103,.0563021316033364,3059000,California,Tehama County,,06,103,63015,38654206,CA,0118,8977,-2.593315972222221,Jan18,,7.913757173022776,2018,1,January2018
06105,.028433695563363,3059000,California,Trinity County,,06,105,13180,38654206,CA,0117,1710,.117096018735352,Jan17,,7.913757173022776,2017,1,January2017
06107,.2982201574585523,3059000,California,Tulare County,48000,06,107,455769,38654206,CA,0717,115920,-3.229037967075166,Jul17,10.53165090210172,7.913757173022776,2017,7,July2017
06109,.0524919685225029,3059000,California,Tuolumne County,,06,109,53864,38654206,CA,0119,4572,-1.359223300970869,Jan19,,7.913757173022776,2019,1,January2019
06111,.2140116726064908,3059000,California,Ventura County,69000,06,111,843110,38654206,CA,0116,75514,1.566934323259228,Jan16,8.183985482321406,7.913757173022776,2016,1,January2016
06113,.1721261978733646,3059000,California,Yolo County,13000,06,113,209671,38654206,CA,0119,16614,-4.363343311075296,Jan19,6.200189821196064,7.913757173022776,2019,1,January2019
06115,.0878000723792674,3059000,California,Yuba County,,06,115,73897,38654206,CA,0119,12769,.4483952171176808,Jan19,,7.913757173022776,2019,1,January2019
12001,.0324219679150038,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0715,40984,-.6761505464944362,Jul15,,3.290785384558622,2015,7,July2015
12003,.0120347962587481,656000,Florida,Baker County,,12,003,27312,19934451,FL,0117,4725,-1.583003540928973,Jan17,,3.290785384558622,2017,1,January2017
12005,.0157292317781717,656000,Florida,Bay County,,12,005,178361,19934451,FL,0116,33196,1.333984553863066,Jan16,,3.290785384558622,2016,1,January2016
12007,.012635469210408,656000,Florida,Bradford County,,12,007,26919,19934451,FL,0118,4707,-1.794283329856039,Jan18,,3.290785384558622,2018,1,January2018
