county_state_id,pop_hispan_prop,pop_un_st,state_name,county_name,pop_un_co,state_id,county_id,pop_co,pop_st,state_abbrev,semester,snap_beneficiaries,snap_biannual_chan,sem,pop_un_co_per,pop_un_st_per,year,month,date
17001,.004233025984912,487000,Illinois,Adams County,,17,001,66949,12851684,IL,0717,15233,-.8397344095820825,Jul17,,3.789386667148056,2017,7,July2017
17003,.0083985649054142,487000,Illinois,Alexander County,,17,003,7051,12851684,IL,0116,0,,Jan16,,3.789386667148056,2016,1,January2016
17005,.0036365877712032,487000,Illinois,Bond County,,17,005,17137,12851684,IL,0116,0,,Jan16,,3.789386667148056,2016,1,January2016
17011,.0206831313596155,487000,Illinois,Bureau County,,17,011,33822,12851684,IL,0118,6489,1.565190170605724,Jan18,,3.789386667148056,2018,1,January2018
17015,.0125672293519357,487000,Illinois,Carroll County,,17,015,14793,12851684,IL,0715,0,,Jul15,,3.789386667148056,2015,7,July2015
17017,.0051710421638823,487000,Illinois,Cass County,,17,017,13068,12851684,IL,0116,3110,-2.078085642317384,Jan16,,3.789386667148056,2016,1,January2016
17019,.0142797693359491,487000,Illinois,Champaign County,,17,019,206420,12851684,IL,0718,28012,-3.069310356759747,Jul18,,3.789386667148056,2018,7,July2018
17021,.0029529692241006,487000,Illinois,Christian County,,17,021,33888,12851684,IL,0718,5459,-4.160814606741569,Jul18,,3.789386667148056,2018,7,July2018
17025,.0030753124386573,487000,Illinois,Clay County,,17,025,13466,12851684,IL,0116,0,,Jan16,,3.789386667148056,2016,1,January2016
17027,.0056412300334182,487000,Illinois,Clinton County,,17,027,37858,12851684,IL,0715,0,,Jul15,,3.789386667148056,2015,7,July2015
17029,.0048283666540928,487000,Illinois,Coles County,,17,029,52802,12851684,IL,0119,23048,2.768983814152581,Jan19,,3.789386667148056,2019,1,January2019
17031,.0950543469260766,487000,Illinois,Cook County,307000,17,031,5227575,12851684,IL,0716,921166,-.1137478787484492,Jul16,5.872703882775475,3.789386667148056,2016,7,July2016
17033,.0036987222595831,487000,Illinois,Crawford County,,17,033,19441,12851684,IL,0117,3559,-3.523990241257791,Jan17,,3.789386667148056,2017,1,January2017
17037,.0192909766723065,487000,Illinois,DeKalb County,,17,037,104458,12851684,IL,0716,12604,2.280288890692206,Jul16,,3.789386667148056,2016,7,July2016
17041,.0105694346111055,487000,Illinois,Douglas County,,17,041,19770,12851684,IL,0115,0,,Jan15,,3.789386667148056,2015,1,January2015
17043,.0262478864175194,487000,Illinois,DuPage County,37000,17,043,930514,12851684,IL,0715,68703,.9521710381309223,Jul15,3.976296971351317,3.789386667148056,2015,7,July2015
17045,.0048331415420023,487000,Illinois,Edgar County,,17,045,17828,12851684,IL,0115,0,,Jan15,,3.789386667148056,2015,1,January2015
17049,.0029830125286526,487000,Illinois,Effingham County,,17,049,34356,12851684,IL,0115,0,,Jan15,,3.789386667148056,2015,1,January2015
17051,.0061706152598865,487000,Illinois,Fayette County,,17,051,22025,12851684,IL,0116,0,,Jan16,,3.789386667148056,2016,1,January2016
