state_name,semester,snap_beneficiaries,snap_change
California,1-2016,4384491,-1.11086702344565
Florida,1-2016,2947246,.0718474226944155
Illinois,1-2016,1907132,-5.677364727853274
Texas,1-2016,3734096,.0583345994379814
California,1-2017,4165897,-2.149913046092622
Florida,1-2017,2575504,-.9373912207317647
Illinois,1-2017,1865456,-2.97303257644792
Texas,1-2017,3826344,.7865172090808281
California,1-2018,4003826,-.4312182088478833
Florida,1-2018,2564607,3.173690660002459
Illinois,1-2018,1810867,-2.086611320722076
Texas,1-2018,3823986,1.808491775153631
California,1-2019,3727240,-3.713818799370294
Florida,1-2019,2327078,-3.551362669535851
Illinois,1-2019,1824707,3.152332691142279
Texas,1-2019,3544410,-1.99512520858881
California,2-2015,4433744,.7655350154316176
Florida,2-2015,2945130,-.9652519389945935
Illinois,2-2015,2021924,-1.604318671890625
Texas,2-2015,3731919,.4442304410760212
California,2-2016,4257428,-2.898010282151342
Florida,2-2016,2599875,-11.78629133774378
Illinois,2-2016,1922616,.8118997531371797
Texas,2-2016,3796484,1.670765829266307
California,2-2017,4021166,-3.474185751592029
Florida,2-2017,2485718,-3.486152613236093
Illinois,2-2017,1849458,-.8575919239049323
Texas,2-2017,3756058,-1.836897048461927
California,2-2018,3871002,-3.317426881188146
Florida,2-2018,2412764,-5.920712218285296
Illinois,2-2018,1768944,-2.315078909715618
Texas,2-2018,3616565,-5.424209189050377
US,1-2016,35595374,-2.24264848685618
US,1-2017,33941301,-1.95607385332696
US,1-2018,31409762,-.9031301003053455
US,1-2019,29333679,-2.024678801641321
US,2-2015,36302826,-1.263884609388612
US,2-2016,34532574,-2.285072468149084
US,2-2017,32609155,-3.203802025047506
US,2-2018,30145526,-4.133167043409548
