,state,county,population,county_name,state_name
0,01,001,55049.0,Autauga County, Alabama
1,01,003,199510.0,Baldwin County, Alabama
2,01,005,26614.0,Barbour County, Alabama
3,01,007,22572.0,Bibb County, Alabama
4,01,009,57704.0,Blount County, Alabama
5,01,011,10552.0,Bullock County, Alabama
6,01,013,20280.0,Butler County, Alabama
7,01,015,115883.0,Calhoun County, Alabama
8,01,017,34018.0,Chambers County, Alabama
9,01,019,25897.0,Cherokee County, Alabama
10,01,021,43817.0,Chilton County, Alabama
11,01,023,13287.0,Choctaw County, Alabama
12,01,025,24847.0,Clarke County, Alabama
13,01,027,13483.0,Clay County, Alabama
14,01,029,14991.0,Cleburne County, Alabama
15,01,031,50991.0,Coffee County, Alabama
16,01,033,54377.0,Colbert County, Alabama
17,01,035,12697.0,Conecuh County, Alabama
18,01,037,10864.0,Coosa County, Alabama
19,01,039,37729.0,Covington County, Alabama
20,01,041,13896.0,Crenshaw County, Alabama
21,01,043,81316.0,Cullman County, Alabama
22,01,045,49607.0,Dale County, Alabama
23,01,047,41426.0,Dallas County, Alabama
24,01,049,70937.0,DeKalb County, Alabama
25,01,051,80957.0,Elmore County, Alabama
26,01,053,37875.0,Escambia County, Alabama
27,01,055,103363.0,Etowah County, Alabama
28,01,057,16783.0,Fayette County, Alabama
29,01,059,31573.0,Franklin County, Alabama
30,01,061,26765.0,Geneva County, Alabama
31,01,063,8587.0,Greene County, Alabama
32,01,065,15159.0,Hale County, Alabama
33,01,067,17187.0,Henry County, Alabama
34,01,069,103891.0,Houston County, Alabama
35,01,071,52608.0,Jackson County, Alabama
36,01,073,659096.0,Jefferson County, Alabama
37,01,075,14066.0,Lamar County, Alabama
38,01,077,92641.0,Lauderdale County, Alabama
39,01,079,33433.0,Lawrence County, Alabama
40,01,081,153947.0,Lee County, Alabama
41,01,083,90257.0,Limestone County, Alabama
42,01,085,10565.0,Lowndes County, Alabama
43,01,087,19684.0,Macon County, Alabama
44,01,089,349973.0,Madison County, Alabama
45,01,091,20066.0,Marengo County, Alabama
46,01,093,30239.0,Marion County, Alabama
47,01,095,94534.0,Marshall County, Alabama
48,01,097,414291.0,Mobile County, Alabama
49,01,099,21975.0,Monroe County, Alabama
50,01,101,227392.0,Montgomery County, Alabama
