,Calc: SNAP Total PA and Non-PA People,County ID,State Abbrev,county_id,state_id,county_state
0,8189.0,0100101,AL,001,01,01001
1,23417.0,0100301,AL,003,01,01003
2,6876.0,0100501,AL,005,01,01005
3,3876.0,0100701,AL,007,01,01007
4,8060.0,0100901,AL,009,01,01009
5,0.0,0100999,AL,009,01,01009
6,3139.0,0101101,AL,011,01,01011
7,5496.0,0101301,AL,013,01,01013
8,24772.0,0101501,AL,015,01,01015
9,7690.0,0101701,AL,017,01,01017
10,5003.0,0101901,AL,019,01,01019
11,8072.0,0102101,AL,021,01,01021
12,3655.0,0102301,AL,023,01,01023
13,6738.0,0102502,AL,025,01,01025
14,2150.0,0102701,AL,027,01,01027
15,2454.0,0102901,AL,029,01,01029
16,7604.0,0103101,AL,031,01,01031
17,9043.0,0103301,AL,033,01,01033
18,3821.0,0103501,AL,035,01,01035
19,1965.0,0103701,AL,037,01,01037
20,8216.0,0103901,AL,039,01,01039
21,3224.0,0104101,AL,041,01,01041
22,11883.0,0104301,AL,043,01,01043
23,10664.0,0104501,AL,045,01,01045
24,16920.0,0104701,AL,047,01,01047
25,15454.0,0104901,AL,049,01,01049
26,12029.0,0105101,AL,051,01,01051
27,9551.0,0105301,AL,053,01,01053
28,16155.0,0105501,AL,055,01,01055
29,3973.0,0105701,AL,057,01,01057
30,6658.0,0105901,AL,059,01,01059
31,6048.0,0106101,AL,061,01,01061
32,3231.0,0106301,AL,063,01,01063
33,4257.0,0106501,AL,065,01,01065
34,3360.0,0106701,AL,067,01,01067
35,20617.0,0106901,AL,069,01,01069
36,8666.0,0107101,AL,071,01,01071
37,121924.0,0107301,AL,073,01,01073
38,2826.0,0107501,AL,075,01,01075
39,13414.0,0107701,AL,077,01,01077
40,6586.0,0107901,AL,079,01,01079
41,18686.0,0108101,AL,081,01,01081
42,11816.0,0108302,AL,083,01,01083
43,4239.0,0108501,AL,085,01,01085
44,7061.0,0108701,AL,087,01,01087
45,43455.0,0108902,AL,089,01,01089
46,5596.0,0109101,AL,091,01,01091
47,6504.0,0109301,AL,093,01,01093
48,18888.0,0109501,AL,095,01,01095
49,94708.0,0109701,AL,097,01,01097
50,5027.0,0109901,AL,099,01,01099
51,56756.0,0110101,AL,101,01,01101
52,17019.0,0110301,AL,103,01,01103
53,4237.0,0110501,AL,105,01,01105
54,4262.0,0110701,AL,107,01,01107
55,7789.0,0110901,AL,109,01,01109
56,5468.0,0111101,AL,111,01,01111
57,15021.0,0111301,AL,113,01,01113
58,11731.0,0111501,AL,115,01,01115
59,14333.0,0111701,AL,117,01,01117
60,4448.0,0111901,AL,119,01,01119
61,15736.0,0112101,AL,121,01,01121
62,8671.0,0112301,AL,123,01,01123
63,28340.0,0112501,AL,125,01,01125
64,13585.0,0112701,AL,127,01,01127
65,3182.0,0112901,AL,129,01,01129
66,4980.0,0113101,AL,131,01,01131
67,3863.0,0113301,AL,133,01,01133
68,84479.0,0211005,AK,110,02,02110
69,25484.0,0400101,AZ,001,04,04001
70,23586.0,0400301,AZ,003,04,04003
71,19722.0,0400501,AZ,005,04,04005
72,12184.0,0400701,AZ,007,04,04007
73,6746.0,0400901,AZ,009,04,04009
74,836.0,0401101,AZ,011,04,04011
75,533365.0,0401301,AZ,013,04,04013
76,39820.0,0401501,AZ,015,04,04015
77,31314.0,0401701,AZ,017,04,04017
78,155519.0,0401901,AZ,019,04,04019
79,52186.0,0402101,AZ,021,04,04021
80,12384.0,0402301,AZ,023,04,04023
81,24013.0,0402501,AZ,025,04,04025
82,43780.0,0402701,AZ,027,04,04027
83,3659.0,0402901,AZ,029,04,04029
84,3231.0,0500101,AR,001,05,05001
85,3797.0,0500301,AR,003,05,05003
86,5296.0,0500501,AR,005,05,05005
87,18057.0,0500701,AR,007,05,05007
88,5434.0,0500901,AR,009,05,05009
89,2399.0,0501101,AR,011,05,05011
90,589.0,0501301,AR,013,05,05013
91,3350.0,0501501,AR,015,05,05015
92,3139.0,0501701,AR,017,05,05017
93,2766.0,0501901,AR,019,05,05019
94,1807.0,0502101,AR,021,05,05021
95,2630.0,0502301,AR,023,05,05023
96,1394.0,0502501,AR,025,05,05025
97,4211.0,0502701,AR,027,05,05027
98,3494.0,0502901,AR,029,05,05029
99,15069.0,0503101,AR,031,05,05031
100,9247.0,0503301,AR,033,05,05033
101,13934.0,0503501,AR,035,05,05035
102,3030.0,0503701,AR,037,05,05037
103,1297.0,0503901,AR,039,05,05039
104,3407.0,0504101,AR,041,05,05041
